AARS2	ABCB1	ABL1	ACVR1B	ADAM10	ADCY1	ADORA2A	AHNAK2	AJUBA	AKAP9	AKT1	AMPH	ANAPC1	ANKRD12	APAF1	APC	AR	ARHGAP32	ARHGAP35	ARHGEF6	ARID1A	ARID2	ARID5B	ASPM	ASXL1	ATG13	ATM	ATR	ATRX	AXIN2	B2M	BAP1	BARD1	BCLAF1	BCOR	BLM	BRAF	BRCA1	BRCA2	BUB1B	CAD	CARM1	CASP8	CAST	CBFB	CCAR1	CCND1	CDC73	CDH1	CDK12	CDKN1A	CDKN1B	CDKN2A	CDKN2C	CEBPA	CFH	CHD4	CHD8	CHEK2	CIC	CLIP1	CLTC	CLTCL1	COL18A1	CREB1	CRTC1	CRTC3	CSDE1	CTCF	CTNNB1	CTNND1	CTTN	CUL1	CYLD	DDX5	DHX9	DICER1	DMD	DNMT3A	DOCK2	EEF1A1	EGFR	EIF4A2	ELF3	EP300	ERBB2	ERBB2IP	ERCC2	ESR1	EWSR1	EZH2	FANCA	FBN2	FBXO11	FBXW7	FES	FGFR2	FGFR3	FLT3	FN1	FOXA1	FOXA2	GATA3	GNAI1	GNAS	GOLGA5	GOT2	GPHN	GPS2	GTF2H1	H3F3C	HGF	HLA-A	HLA-B	HMGXB4	HRAS	HSP90AB1	HSPA8	HUWE1	IDH1	IDH2	IRS2	ITGA6	JAK2	KALRN	KDM5C	KDM6A	KEAP1	KIAA1109	KIFC3	KIT	KRAS	LCP1	LEPR	LIFR	LPP	LRRK2	LUM	LYN	LZTR1	MAP2K4	MAP3K1	MAP3K3	MAP3K4	MAPK8IP1	MAST2	MATK	MAX	MDC1	MECOM	MED12	MED13	MED17	MEF2A	METTL14	MLLT10	MLLT3	MLLT4	MMP2	MN1	MSN	MST1	MTOR	MYB	MYH9	NAV3	NBPF10	NCOA3	NCOA4	NCOR1	NCOR2	NEB	NEDD4L	NF1	NFE2L2	NIN	NLRP3	NONO	NOTCH1	NPM1	NR1H2	NR4A2	NRAS	NSD1	NUMA1	NUP214	NUP93	NUP98	PABPC1	PBRM1	PCBP1	PCM1	PDGFRA	PHF6	PHLDA1	PIK3CA	PIK3CB	PIK3CG	PIK3R1	PIP5K1A	PLCG1	PLEC	POTEF	PPP2R1A	PRKAR1A	PRKCD	PRPF8	PSEN1	PTEN	PTPN11	RAC1	RAD21	RANBP2	RANBP3	RASA1	RB1	RBMX	RHEB	RHOA	RNF213	RNF43	RPGR	RPL22	RPL5	RUNX1	RXRA	SETD2	SF3B1	SGK1	SIN3A	SMAD2	SMAD4	SMARCA4	SMC1A	SMC3	SOS1	SOX17	SPATA6	SPEN	SPOP	STAG2	STAT3	STK11	SUZ12	SYNE1	TAF1	TBL1XR1	TBX3	TCF12	TCF7	TCF7L2	TET2	TFDP1	TGFBR2	TGIF1	TJP2	TNFRSF10C	TOM1	TOP3A	TP53	TP53BP1	TPR	TRIM7	TRIO	TRIP11	TSC2	TUBA1A	TXNIP	U2AF1	VHL	WHSC1	WHSC1L1	WRN	WT1	ZFHX3	ZFP36L1	ZFP36L2	ZMYM2	ZNF132	ZNF300	ZNF814	ZNF844	ZNF91	AARS	ACTB	ACTG1	ACVR2A	AHCTF1	AHCYL2	AHNAK	ANKRD11	ANKRD6	ANXA6	ARAF	ATF7IP	BAZ1B	BAZ2A	BCL9L	CEP170	CHD3	CHD7	CNOT1	CNOT3	COBLL1	CUL3	CUX1	CYC1	DAB2IP	DCP1B	DDX3X	DIDO1	DIS3L2	DNM3	DOCK4	DOT1L	DST	EPB41L3	EPHA3	EPHB6	EPPK1	ERBB4	FAM129B	FCHO2	FLNA	FOSL2	G3BP1	GDI1	GIGYF2	GNL3L	GRIN3A	HERC1	HIST1H1C	HIST1H2BD	IARS2	IK	ING1	INPP4A	INTS1	JMJD1C	KDM6B	KIF20B	LTBP1	LUC7L2	MACF1	MAP1A	MAP1B	MAP4	MARCKSL1	MCM7	MDN1	MEGF6	MGA	MICAL1	MKI67	MME	MTM1	MYCBP2	MYO1D	NAA15	NAV1	NBEA	NEK1	NEK8	NIPBL	NMT2	P4HB	PABPC4	PDS5A	POLE	PPFIA4	PRDM2	PRRC2A	PRX	PSMD11	PSME3	PTPN13	PWP1	QKI	RAB11FIP5	RAG1	RALGAPA1	RANGAP1	RBFOX2	RBM10	RIF1	RNF111	RPP38	RSRC1	SEC23B	SETX	SH3PXD2A	SLC25A10	SLC3A2	SMARCAD1	SMC4	SMCHD1	SOX9	SPEG	SPTAN1	SRCAP	SRRM2	SSX2IP	STIP1	SVIL	TGOLN2	TICAM1	TLR4	TNKS1BP1	TNPO1	TPM1	TTK	UBE2Z	UBE4A	USP28	USP9X	UTP14A	VEZT	ZEB2	ZMYM4	ZMYND8	ZNF451	ZNF703
AARS2	0.04	0.08	0.08	0.08	0.04	0.04	0.04	0.08	0.08	0.12	0.16	0.04	0.04	0.08	0.04	0.16	0.04	0.04	0.08	0.04	0.12	0.12	0.08	0.08	0.12	0.04	0.12	0.08	0.16	0.08	0.12	0.12	0.04	0.08	0.08	0.12	0.16	0.12	0.12	0.08	0.04	0.04	0.12	0.08	0.16	0.04	0.16	0.08	0.12	0.16	0.08	0.08	0.16	0.08	0.12	0.08	0.08	0.04	0.12	0.08	0.04	0.08	0.08	0.04	0.08	0.08	0.08	0.04	0.16	0.2	0.04	0.04	0.04	0.08	0.08	0.04	0.08	0.04	0.16	0.04	0.08	0.2	0.08	0.08	0.12	0.16	0.04	0.12	0.04	0.08	0.08	0.08	0.08	0.08	0.16	0.04	0.16	0.16	0.2	0.04	0.08	0.12	0.12	0.04	0.12	0.12	0.08	0.08	0.04	0.04	0.08	0.04	0.08	0.08	0.08	0.16	0.08	0.04	0.04	0.2	0.2	0.04	0.04	0.08	0.04	0.12	0.16	0.12	0.08	0.04	0.16	0.16	0.08	0.08	0.08	0.08	0.08	0.08	0.04	0.08	0.16	0.08	0.04	0.04	0.04	0.08	0.04	0.08	0.04	0.08	0.08	0.04	0.04	0.04	0.12	0.08	0.08	0.12	0.04	0.08	0.08	0.04	0.08	0.12	0.12	0.08	0.08	0.08	0.08	0.12	0.04	0.08	0.04	0.12	0.2	0.08	0.04	0.08	0.12	0.12	0.04	0.04	0.2	0.12	0.08	0.08	0.04	0.08	0.04	0.12	0.08	0.08	0.08	0.12	0.04	0.16	0.04	0.04	0.2	0.04	0.04	0.08	0.08	0.16	0.08	0.04	0.04	0.04	0.2	0.16	0.12	0.04	0.04	0.04	0.08	0.12	0.04	0.04	0.04	0.08	0.04	0.04	0.12	0.08	0.16	0.04	0.12	0.12	0.04	0.04	0.08	0.16	0.12	0.08	0.08	0.04	0.08	0.08	0.08	0.12	0.08	0.04	0.12	0.12	0.08	0.08	0.04	0.08	0.08	0.04	0.12	0.12	0.04	0.08	0.04	0.04	0.04	0.04	0.04	0.2	0.08	0.08	0.04	0.04	0.08	0.08	0.04	0.08	0.16	0.2	0.12	0.08	0.08	0.16	0.12	0.08	0.08	0.08	0.04	0.04	0.08	0.08	0.08	0.04	0.04	0.04	0.08	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.08	0.04	0.04	0.04	0.04	0.08	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.08	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04
ABCB1	0.08	0.16	0.16	0.16	0.08	0.08	0.08	0.16	0.16	0.24	0.32	0.08	0.08	0.16	0.08	0.32	0.08	0.08	0.16	0.08	0.24	0.24	0.16	0.16	0.24	0.08	0.24	0.16	0.32	0.16	0.24	0.24	0.08	0.16	0.16	0.24	0.32	0.24	0.24	0.16	0.08	0.08	0.24	0.16	0.32	0.08	0.32	0.16	0.24	0.32	0.16	0.16	0.32	0.16	0.24	0.16	0.16	0.08	0.24	0.16	0.08	0.16	0.16	0.08	0.16	0.16	0.16	0.08	0.32	0.4	0.08	0.08	0.08	0.16	0.16	0.08	0.16	0.08	0.32	0.08	0.16	0.4	0.16	0.16	0.24	0.32	0.08	0.24	0.08	0.16	0.16	0.16	0.16	0.16	0.32	0.08	0.32	0.32	0.4	0.08	0.16	0.24	0.24	0.08	0.24	0.24	0.16	0.16	0.08	0.08	0.16	0.08	0.16	0.16	0.16	0.32	0.16	0.08	0.08	0.4	0.4	0.08	0.08	0.16	0.08	0.24	0.32	0.24	0.16	0.08	0.32	0.32	0.16	0.16	0.16	0.16	0.16	0.16	0.08	0.16	0.32	0.16	0.08	0.08	0.08	0.16	0.08	0.16	0.08	0.16	0.16	0.08	0.08	0.08	0.24	0.16	0.16	0.24	0.08	0.16	0.16	0.08	0.16	0.24	0.24	0.16	0.16	0.16	0.16	0.24	0.08	0.16	0.08	0.24	0.4	0.16	0.08	0.16	0.24	0.24	0.08	0.08	0.4	0.24	0.16	0.16	0.08	0.16	0.08	0.24	0.16	0.16	0.16	0.24	0.08	0.32	0.08	0.08	0.4	0.08	0.08	0.16	0.16	0.32	0.16	0.08	0.08	0.08	0.4	0.32	0.24	0.08	0.08	0.08	0.16	0.24	0.08	0.08	0.08	0.16	0.08	0.08	0.24	0.16	0.32	0.08	0.24	0.24	0.08	0.08	0.16	0.32	0.24	0.16	0.16	0.08	0.16	0.16	0.16	0.24	0.16	0.08	0.24	0.24	0.16	0.16	0.08	0.16	0.16	0.08	0.24	0.24	0.08	0.16	0.08	0.08	0.08	0.08	0.08	0.4	0.16	0.16	0.08	0.08	0.16	0.16	0.08	0.16	0.32	0.4	0.24	0.16	0.16	0.32	0.24	0.16	0.16	0.16	0.08	0.08	0.16	0.16	0.16	0.08	0.08	0.08	0.16	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.16	0.08	0.08	0.08	0.08	0.16	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.16	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08
ABL1	0.08	0.16	0.16	0.16	0.08	0.08	0.08	0.16	0.16	0.24	0.32	0.08	0.08	0.16	0.08	0.32	0.08	0.08	0.16	0.08	0.24	0.24	0.16	0.16	0.24	0.08	0.24	0.16	0.32	0.16	0.24	0.24	0.08	0.16	0.16	0.24	0.32	0.24	0.24	0.16	0.08	0.08	0.24	0.16	0.32	0.08	0.32	0.16	0.24	0.32	0.16	0.16	0.32	0.16	0.24	0.16	0.16	0.08	0.24	0.16	0.08	0.16	0.16	0.08	0.16	0.16	0.16	0.08	0.32	0.4	0.08	0.08	0.08	0.16	0.16	0.08	0.16	0.08	0.32	0.08	0.16	0.4	0.16	0.16	0.24	0.32	0.08	0.24	0.08	0.16	0.16	0.16	0.16	0.16	0.32	0.08	0.32	0.32	0.4	0.08	0.16	0.24	0.24	0.08	0.24	0.24	0.16	0.16	0.08	0.08	0.16	0.08	0.16	0.16	0.16	0.32	0.16	0.08	0.08	0.4	0.4	0.08	0.08	0.16	0.08	0.24	0.32	0.24	0.16	0.08	0.32	0.32	0.16	0.16	0.16	0.16	0.16	0.16	0.08	0.16	0.32	0.16	0.08	0.08	0.08	0.16	0.08	0.16	0.08	0.16	0.16	0.08	0.08	0.08	0.24	0.16	0.16	0.24	0.08	0.16	0.16	0.08	0.16	0.24	0.24	0.16	0.16	0.16	0.16	0.24	0.08	0.16	0.08	0.24	0.4	0.16	0.08	0.16	0.24	0.24	0.08	0.08	0.4	0.24	0.16	0.16	0.08	0.16	0.08	0.24	0.16	0.16	0.16	0.24	0.08	0.32	0.08	0.08	0.4	0.08	0.08	0.16	0.16	0.32	0.16	0.08	0.08	0.08	0.4	0.32	0.24	0.08	0.08	0.08	0.16	0.24	0.08	0.08	0.08	0.16	0.08	0.08	0.24	0.16	0.32	0.08	0.24	0.24	0.08	0.08	0.16	0.32	0.24	0.16	0.16	0.08	0.16	0.16	0.16	0.24	0.16	0.08	0.24	0.24	0.16	0.16	0.08	0.16	0.16	0.08	0.24	0.24	0.08	0.16	0.08	0.08	0.08	0.08	0.08	0.4	0.16	0.16	0.08	0.08	0.16	0.16	0.08	0.16	0.32	0.4	0.24	0.16	0.16	0.32	0.24	0.16	0.16	0.16	0.08	0.08	0.16	0.16	0.16	0.08	0.08	0.08	0.16	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.16	0.08	0.08	0.08	0.08	0.16	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.16	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08
ACVR1B	0.08	0.16	0.16	0.16	0.08	0.08	0.08	0.16	0.16	0.24	0.32	0.08	0.08	0.16	0.08	0.32	0.08	0.08	0.16	0.08	0.24	0.24	0.16	0.16	0.24	0.08	0.24	0.16	0.32	0.16	0.24	0.24	0.08	0.16	0.16	0.24	0.32	0.24	0.24	0.16	0.08	0.08	0.24	0.16	0.32	0.08	0.32	0.16	0.24	0.32	0.16	0.16	0.32	0.16	0.24	0.16	0.16	0.08	0.24	0.16	0.08	0.16	0.16	0.08	0.16	0.16	0.16	0.08	0.32	0.4	0.08	0.08	0.08	0.16	0.16	0.08	0.16	0.08	0.32	0.08	0.16	0.4	0.16	0.16	0.24	0.32	0.08	0.24	0.08	0.16	0.16	0.16	0.16	0.16	0.32	0.08	0.32	0.32	0.4	0.08	0.16	0.24	0.24	0.08	0.24	0.24	0.16	0.16	0.08	0.08	0.16	0.08	0.16	0.16	0.16	0.32	0.16	0.08	0.08	0.4	0.4	0.08	0.08	0.16	0.08	0.24	0.32	0.24	0.16	0.08	0.32	0.32	0.16	0.16	0.16	0.16	0.16	0.16	0.08	0.16	0.32	0.16	0.08	0.08	0.08	0.16	0.08	0.16	0.08	0.16	0.16	0.08	0.08	0.08	0.24	0.16	0.16	0.24	0.08	0.16	0.16	0.08	0.16	0.24	0.24	0.16	0.16	0.16	0.16	0.24	0.08	0.16	0.08	0.24	0.4	0.16	0.08	0.16	0.24	0.24	0.08	0.08	0.4	0.24	0.16	0.16	0.08	0.16	0.08	0.24	0.16	0.16	0.16	0.24	0.08	0.32	0.08	0.08	0.4	0.08	0.08	0.16	0.16	0.32	0.16	0.08	0.08	0.08	0.4	0.32	0.24	0.08	0.08	0.08	0.16	0.24	0.08	0.08	0.08	0.16	0.08	0.08	0.24	0.16	0.32	0.08	0.24	0.24	0.08	0.08	0.16	0.32	0.24	0.16	0.16	0.08	0.16	0.16	0.16	0.24	0.16	0.08	0.24	0.24	0.16	0.16	0.08	0.16	0.16	0.08	0.24	0.24	0.08	0.16	0.08	0.08	0.08	0.08	0.08	0.4	0.16	0.16	0.08	0.08	0.16	0.16	0.08	0.16	0.32	0.4	0.24	0.16	0.16	0.32	0.24	0.16	0.16	0.16	0.08	0.08	0.16	0.16	0.16	0.08	0.08	0.08	0.16	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.16	0.08	0.08	0.08	0.08	0.16	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.16	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08
ADAM10	0.04	0.08	0.08	0.08	0.04	0.04	0.04	0.08	0.08	0.12	0.16	0.04	0.04	0.08	0.04	0.16	0.04	0.04	0.08	0.04	0.12	0.12	0.08	0.08	0.12	0.04	0.12	0.08	0.16	0.08	0.12	0.12	0.04	0.08	0.08	0.12	0.16	0.12	0.12	0.08	0.04	0.04	0.12	0.08	0.16	0.04	0.16	0.08	0.12	0.16	0.08	0.08	0.16	0.08	0.12	0.08	0.08	0.04	0.12	0.08	0.04	0.08	0.08	0.04	0.08	0.08	0.08	0.04	0.16	0.2	0.04	0.04	0.04	0.08	0.08	0.04	0.08	0.04	0.16	0.04	0.08	0.2	0.08	0.08	0.12	0.16	0.04	0.12	0.04	0.08	0.08	0.08	0.08	0.08	0.16	0.04	0.16	0.16	0.2	0.04	0.08	0.12	0.12	0.04	0.12	0.12	0.08	0.08	0.04	0.04	0.08	0.04	0.08	0.08	0.08	0.16	0.08	0.04	0.04	0.2	0.2	0.04	0.04	0.08	0.04	0.12	0.16	0.12	0.08	0.04	0.16	0.16	0.08	0.08	0.08	0.08	0.08	0.08	0.04	0.08	0.16	0.08	0.04	0.04	0.04	0.08	0.04	0.08	0.04	0.08	0.08	0.04	0.04	0.04	0.12	0.08	0.08	0.12	0.04	0.08	0.08	0.04	0.08	0.12	0.12	0.08	0.08	0.08	0.08	0.12	0.04	0.08	0.04	0.12	0.2	0.08	0.04	0.08	0.12	0.12	0.04	0.04	0.2	0.12	0.08	0.08	0.04	0.08	0.04	0.12	0.08	0.08	0.08	0.12	0.04	0.16	0.04	0.04	0.2	0.04	0.04	0.08	0.08	0.16	0.08	0.04	0.04	0.04	0.2	0.16	0.12	0.04	0.04	0.04	0.08	0.12	0.04	0.04	0.04	0.08	0.04	0.04	0.12	0.08	0.16	0.04	0.12	0.12	0.04	0.04	0.08	0.16	0.12	0.08	0.08	0.04	0.08	0.08	0.08	0.12	0.08	0.04	0.12	0.12	0.08	0.08	0.04	0.08	0.08	0.04	0.12	0.12	0.04	0.08	0.04	0.04	0.04	0.04	0.04	0.2	0.08	0.08	0.04	0.04	0.08	0.08	0.04	0.08	0.16	0.2	0.12	0.08	0.08	0.16	0.12	0.08	0.08	0.08	0.04	0.04	0.08	0.08	0.08	0.04	0.04	0.04	0.08	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.08	0.04	0.04	0.04	0.04	0.08	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.08	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04
ADCY1	0.04	0.08	0.08	0.08	0.04	0.04	0.04	0.08	0.08	0.12	0.16	0.04	0.04	0.08	0.04	0.16	0.04	0.04	0.08	0.04	0.12	0.12	0.08	0.08	0.12	0.04	0.12	0.08	0.16	0.08	0.12	0.12	0.04	0.08	0.08	0.12	0.16	0.12	0.12	0.08	0.04	0.04	0.12	0.08	0.16	0.04	0.16	0.08	0.12	0.16	0.08	0.08	0.16	0.08	0.12	0.08	0.08	0.04	0.12	0.08	0.04	0.08	0.08	0.04	0.08	0.08	0.08	0.04	0.16	0.2	0.04	0.04	0.04	0.08	0.08	0.04	0.08	0.04	0.16	0.04	0.08	0.2	0.08	0.08	0.12	0.16	0.04	0.12	0.04	0.08	0.08	0.08	0.08	0.08	0.16	0.04	0.16	0.16	0.2	0.04	0.08	0.12	0.12	0.04	0.12	0.12	0.08	0.08	0.04	0.04	0.08	0.04	0.08	0.08	0.08	0.16	0.08	0.04	0.04	0.2	0.2	0.04	0.04	0.08	0.04	0.12	0.16	0.12	0.08	0.04	0.16	0.16	0.08	0.08	0.08	0.08	0.08	0.08	0.04	0.08	0.16	0.08	0.04	0.04	0.04	0.08	0.04	0.08	0.04	0.08	0.08	0.04	0.04	0.04	0.12	0.08	0.08	0.12	0.04	0.08	0.08	0.04	0.08	0.12	0.12	0.08	0.08	0.08	0.08	0.12	0.04	0.08	0.04	0.12	0.2	0.08	0.04	0.08	0.12	0.12	0.04	0.04	0.2	0.12	0.08	0.08	0.04	0.08	0.04	0.12	0.08	0.08	0.08	0.12	0.04	0.16	0.04	0.04	0.2	0.04	0.04	0.08	0.08	0.16	0.08	0.04	0.04	0.04	0.2	0.16	0.12	0.04	0.04	0.04	0.08	0.12	0.04	0.04	0.04	0.08	0.04	0.04	0.12	0.08	0.16	0.04	0.12	0.12	0.04	0.04	0.08	0.16	0.12	0.08	0.08	0.04	0.08	0.08	0.08	0.12	0.08	0.04	0.12	0.12	0.08	0.08	0.04	0.08	0.08	0.04	0.12	0.12	0.04	0.08	0.04	0.04	0.04	0.04	0.04	0.2	0.08	0.08	0.04	0.04	0.08	0.08	0.04	0.08	0.16	0.2	0.12	0.08	0.08	0.16	0.12	0.08	0.08	0.08	0.04	0.04	0.08	0.08	0.08	0.04	0.04	0.04	0.08	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.08	0.04	0.04	0.04	0.04	0.08	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.08	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04
